name,alias(es),birthdate,deathdate,id
"Hapgood, Isabel Florence","['Hapgood, Isabel F.']",1850,1928,91
"Hugo, Victor","['Hugo, Victor Marie, comte']",1802,1885,92
"Hallard, Alys","['Ward, Alice Hall']",,,93
"Doumic, René","['Doumic, Rene']",1860,1937,94
"Sinclair, Upton","['Fitch, Clarke', 'Garrison, Frederick', 'Sinclair, Upton Beall']",1878,1968,95
"Woolf, Virginia","['Stephen, Virginia', 'Woolf, Virginia Stephen']",1882,1941,96
"Eliot, George","['Cross, Marian Evans', 'Cross, Mary Ann', 'Evans, Marian', 'Evans, Mary Anne', 'Lewes, M. E. (Marian Evans)', 'Lewes, Marian Evans']",1819,1880,97
"Paine, Thomas","['Pain, Thomas']",1737,1809,98
"Franklin, Benjamin",[],1706,1790,99
"Eliot, Charles William",[],1834,1926,100
"Jowett, Benjamin","['Jowett, William']",1817,1893,101
Plato,['Πλάτων'],-428,-348,102
"Coleridge, Samuel Taylor","['Coleridge, S. T. (Samuel Taylor)']",1772,1834,103
"Sprague, Ruth M.",[],,,104
"Howells, William Dean","['Howells, W. D. (William Dean)', 'Howells, William D. (William Dean)']",1837,1920,105
"Collins, Wilkie","['Collins, William Wilkie']",1824,1889,106
"Webster, Jean","['McKinney, Jean Webster', 'Webster, Alice Jean Chandler']",1876,1916,107
"Chopin, Kate","[""Chopin, Katherine O'Flaherty"", ""O'Flaherty, Catherine""]",1850,1904,108
"Laxer, Mark E.",[],,,109
"Alcott, Louisa May","['Alcott, L. M. (Louisa May)', 'Alcott, Louisa M. (Louisa May)', 'Barnard, A. M.']",1832,1888,110
"Norris, Frank","['Norris, Benjamin Franklin']",1870,1902,111
"Wharton, Edith","['Olivieri, David', 'Wharton, Edith Newbold Jones']",1862,1937,112
"Humphrey, S. D. (Samuel Dwight)","['Humphrey, Samuel Dwight']",1823,1883,113
"Snelling, Henry Hunt","['Snelling, H. H. (Henry Hunt)']",1816,1897,114
"Morris, William","['Morris, William M.']",1834,1896,115
"Rowson, Mrs.","['Haswell, Susannah', 'Rowson, Susanna Haswell']",1762,1824,116
"Morley, Christopher","['Morley, Christopher Darlington']",1890,1957,117
"Rohmer, Sax","['Ward, Arthur Sarsfield']",1883,1959,118
"Wilde, Oscar","[""Wilde, Oscar Fingal O'Flahertie Wills""]",1854,1900,119
"Leroux, Gaston",[],1868,1927,120
"James, Henry",[],1843,1916,121
Project Gutenberg,"['Gutenberg, Project']",,,122
"Stowe, Harriet Beecher","['Crowfield, Christopher', 'Stowe, H. B. (Harriet Beecher)', 'Stowe, Harriet Elizabeth Beecher']",1811,1896,123
Various,['Verschillende'],,,124
"Service, Robert W. (Robert William)","['Service, Robert William']",1874,1958,125
"Paterson, A. B. (Andrew Barton)","['Paterson, Andrew Barton', 'Paterson, Banjo']",1864,1941,126
"Lawson, Henry","['Lawson, Henry Archibald Hertzberg']",1867,1922,127
"London, Jack","['Chaney, John Griffith']",1876,1916,128
Laozi,"['Lao Tse', 'Lao Tzu', 'Lau-tzu', 'Zi, Lao', '老子']",,,129
"Legge, James","['Li, Ya-ko']",1815,1897,130
"Lawrence, D. H. (David Herbert)","['Davison, Lawrence H. (Lawrence Herbert)', 'Lawrence, D.H.', 'Lawrence, David Herbert']",1885,1930,131
"Caesar, Julius","['Caesar, Caius Julius', 'Caesar, Gaius Julius', 'Cesare, C. Iulio (Caio Iulio)', 'Cesare, C. Julio (Caio Julio)', 'Cesare, Caio Giulio', 'Cesare, Gaio Giulio']",-100,-44,132
"Conrad, Joseph","['Korzeniowski, Joseph Conrad Theodore', 'Korzeniowski, Jozef Konrad Teodor', 'Korzeniowski, Józef Konrad Teodor']",1857,1924,133
"Maugham, W. Somerset (William Somerset)","['Maugham, Somerset', 'Maugham, William Somerset']",1874,1965,134
"MacDonald, George",[],1824,1905,135
"Cicero, Marcus Tullius",[],-106,-43,136
Virgil,"['Vergil', 'Vergilius Maro, Publius']",-70,-19,137
"Dryden, John",[],1631,1700,138
"Dreiser, Theodore",[],1871,1945,139
"Salza, Giuseppe",[],,,140
"Kipling, Rudyard","['Kipling, Joseph Rudyard', 'Kipling, R. (Rudyard)']",1865,1936,141
"Propertius, Sextus","['Propertius, Sextus Aurelius']",,,142
"Harris, Robert A., Ph.D.",[],1950,,143
"Brown, William Wells","['Brown, W. Wells (William Wells)', 'Brown, Wm. Wells (William Wells)']",,1884,144
"Tolstoy, Leo, graf","['Tolstoi, Leo', 'Tolstoy, Graf Leo', 'Tolstoy, Lev N.', 'Tolstoï, Léon', 'Толстой, Лев Николаевич']",1828,1910,145
"FitzGerald, Edward","['Purcell, Edward']",1809,1883,146
Omar Khayyam,"['Khayyam, Omar']",1048,1122,147
"Webster, Noah",[],1758,1843,148
"Fuller, Maxwell",[],,,149
