name,alias(es),birthdate,deathdate,id 
"Cameron, Verney Lovett","['Cameron, V. L. (Verney Lovett)']",1844,1894,3046
"Aulard, F.-A. (François-Alphonse)","['Aulard, Alphonse', 'Aulard, F.-A. (Francois-Alphonse)', 'Aulard, François Victor Alphonse']",1849,1928,3047
"Hough, P. M.",[],,,3048
"Hare, Augustus J. C. (Augustus John Cuthbert)","['Hare, Augustus John Cuthbert']",1834,1903,3049
"Weymouth, Richard Francis","['Weymouth, R. F. (Richard Francis)']",1822,1902,3050
"Hill, J. H.",[],,,3051
"McCabe, James Dabney","['Martin, Edward Winslow', 'McCabe, James D. (James Dabney)']",1842,1883,3052
"Russell, Michael",[],1781,1848,3053
"Coleridge, Ernest Hartley",[],1846,1920,3054
"Fournier, Claude","[""Fournier L'Heritier, Claude"", ""Fournier L'Héritier, Claude"", ""Fournier l'Americain, Claude"", ""Fournier l'Américain, Claude""]",1745,1825,3055
"Mori, Yasotaro","['Morri, Yasotaro']",1882,,3056
"Natsume, Soseki","['Natsume, Kinnosuke', '夏目 漱石']",1867,1916,3057
"Stephens, Robert Neilson","['Stephens, R. N. (Robert Neilson)']",1867,1906,3058
Calleja (pseudonym),[],,,3059
"Warner, Susan","['Warner, Susan Bogert', 'Wetherell, Elizabeth']",1819,1885,3060
"Ollén, Gunnar","['Ollen, Gunnar']",1913,,3061
"Rawson, Graham","['Rawson, Graham Stanhope']",1890,,3062
"Given, Charles Stewart",[],,,3063
"Christie, William Harvey",['A Bushman'],,,3064
"Burckhardt, John Lewis","['Burckhardt, J. Louis']",1784,1817,3065
"Summers, Montague","['Summers, Alphonsus Joseph Mary Augustus Montague']",1880,1948,3066
"White, Frances",[],,,3067
"Judson, Clara Ingram",[],1879,1960,3068
"Gambrill, J. Montgomery (John Montgomery)","['Gambrill, John Montgomery']",1880,1953,3069
"Fisher, George Park","['Fisher, George P. (George Park)']",1827,1909,3070
"Prothero, Rowland E. (Rowland Edmund), Baron Ernle","['Ernle, Lord (Rowland Edmund Prothero)', 'Ernle, Rowland Edmund Prothero, Baron', 'Prothero, Baron Rowland Edmund']",1851,1937,3071
"Livingstone, W. P. (William Pringle)","['Livingstone, William Pringle']",,,3072
"Killen, W. D. (William Dool)","['Killen, William D. (William Dool)']",1806,1902,3073
"Stuart, John McDouall",[],1815,1866,3074
"Hill, George Birkbeck Norman","['Hill, G. Birkbeck (George Birkbeck)']",1835,1903,3075
"Sherwell, Guillermo A. (Guillermo Antonio)",[],1878,1926,3076
"Dasent, George Webbe, Sir","['Dasent, G. W.']",1817,1896,3077
"Ware, William","['Piso, L. Manlius (Lucius Manlius)', 'Piso, Lucius M. (Lucius Manlius)']",1797,1852,3078
"Foster, John",[],1770,1843,3079
"Fildes, Luke, Sir","['Fildes, S. L. (Samuel Luke)', 'Fildes, Samuel Luke']",1844,1927,3080
"Hayley, William",[],1745,1820,3081
"Kirk, William Frederick","['Kirk, William F.']",1877,1927,3082
"Braddon, M. E. (Mary Elizabeth)","['Braddon, Mary Elizabeth', 'Breddon, Miss', 'Maxwell, Mary Elizabeth Braddon', 'White, Babington']",1835,1915,3083
"Gillman, James",[],1782,1839,3084
"Kirtland, John Copeland",[],1870,1951,3085
"Ritchie, Francis","['Ritchie, F. (Francis)']",,,3086
"Blagdon, Francis William","['Blagdon, F. W. (Francis William)']",1778,1819,3087
"Srinivasan, N.",[],,,3088
"Krishnan, Karthik",[],,,3089
"Bloomfield, Robert",[],1766,1823,3090
"Dodsley, Robert","['Dodsley, R. (Robert)', 'Saddi, Nathan ben']",1703,1764,3091
"Artsybashev, M. (Mikhail)","['Artsybashev, Mikhail Petrovich', 'Artzibashef, Michael', 'Арцыбашев, Михаил Петрович']",1878,1927,3092
"Pinkerton, Percy","['Pinkerton, P. (Percy)', 'Pinkerton, Percy E.']",,,3093
"Anglade, Joseph",[],1868,1930,3094
"Peire Raimon, of Toulouse",[],,,3095
"Alcott, William A. (William Andrus)","['Alcott, William Andrus']",1798,1859,3096
"Sheckley, Robert","['Barbee, Phillips', 'Lang, Ned']",1928,2005,3097
"Pickard-Cambridge, Arthur Wallace, Sir","['Pickard-Cambridge, A. W. (Arthur Wallace), Sir']",1873,1952,3098
"Chase, J. Smeaton (Joseph Smeaton)","['Chase, Joseph Smeaton']",1864,,3099
"Markham, Clements R. (Clements Robert), Sir","['Markham, Clements Robert, Sir', 'Markham, Sir Clements R. (Clements Robert)']",1830,1916,3100
"O'Sullivan, Vincent",[],1872,1940,3101
"Bertrand, Louis",[],1866,1941,3102
"Parsons, John Denham",[],,,3103
"Havell, H. L. (Herbert Lord)","['Havell, Herbert Lord']",,1913,3104
"Brooks, Louise",[],,,3105
"Sanders, Charles W. (Charles Walton)","['Sanders, Charles Walton']",1805,1889,3106
"Stark, Harriet",[],,,3107
"Fraser, William Alexander","['Fraser, W. A. (William Alexander)']",1859,1933,3108
"Dent, Edward J. (Edward Joseph)","['Dent, E. J. (Edward Joseph)']",1876,1957,3109
Pansy,"['Alden, Isabella Macdonald', 'Alden, Mrs. G. R. (Isabella)']",1841,1930,3110
"Robert, Henry M. (Henry Martyn)","['Robert, Henry Martyn']",1837,1923,3111
"Ross, John Wilson",[],1818,1887,3112
"Lea, Elizabeth E. (Elizabeth Ellicott)","['Lea, Elizabeth Ellicott']",1793,1858,3113
"Willis Bund, J. W. (John William)","['Bund, J. W. Willis (John William Willis)', 'Willis-Bund, John William Bund']",1843,1928,3114
"La Rochefoucauld, François duc de","['La Rochefoucauld, Francois duc de', 'Rochefoucauld, François duc de la']",1613,1680,3115
"Friswell, J. Hain (James Hain)","['Friswell, Hain', 'Friswell, James Hain']",1825,1878,3116
"Tinsley, Jim",[],,,3117
"Auw, Mellie von",[],1876,,3118
"Eeden, Frederik van","['Eeden, Frederick van', 'Eeden, Frederik Willem van', 'Paradijs, Cornelis', 'Van Eeden, Frederik']",1860,1932,3119
"Cox, Stephen Angus",[],,,3120
"Frewer, Ellen Elizabeth","['Frewer, Ellen E.']",,,3121
Le Page du Pratz,"['Du Pratz, Le Page', 'Page du Pratz, Le', 'Pratz, Antoine Simon Le Page du', 'Pratz, Le Page du']",,1775,3122
"Cherry, J. L. (John Law)","['Cherry, John Law']",,,3123
"Ross, F. A. (Frederick Augustus)","['Ross, Frederick Augustus']",1796,1883,3124
"Kent, Grace Helen","['Kent, G. H. (Grace Helen)']",1875,,3125
"Rosanoff, A. J. (Aaron Joshua)","['Rosanoff, Aaron Joshua']",1878,,3126
"Hall, G. Stanley (Granville Stanley)","['Hall, Granville Stanley']",1844,1924,3127
"Colman, George","['Coleman, George', 'Colman, George, the elder', 'Colmann, George']",1732,1794,3128
"Bethge, Hans",[],1876,1946,3129
"Francis, de Sales, Saint","['Sales, Francis de, Saint']",1567,1622,3130
"Camus, Jean-Pierre",[],1584,1652,3131
"Brinton, Daniel G. (Daniel Garrison)","['Brinton, D. G. (Daniel Garrison)', 'Brinton, Daniel Garrison']",1837,1899,3132
"Landis, Frederick",[],1872,1934,3133
"Brandt, G. N. (Gudmund Nyeland)","['Brandt, Gudmund Nyeland']",1878,1945,3134
"Frémont, John Charles","['Fremont, John Charles', 'Frémont, J. C. (John Charles)']",1813,1890,3135
"Peple, Edward","['Peple, Eduardo', 'Peple, Edward Henry']",1869,1924,3136
"Sinclair, May","['Sinclair, Mary Amelia St. Clair']",1863,1946,3137
"Hughes, Arthur",[],1832,1915,3138
"Wheelhouse, M. V. (Mary V.)","['Wheelhouse, Mary V.']",,,3139
"Arrighi, Cletto","['Righetti, Carlo']",1830,1906,3140
"Butler, Harold Edgeworth","['Butler, H. E. (Harold Edgeworth)']",1878,1951,3141
"Croce, Benedetto",[],1866,1952,3142
"Ainslie, Douglas",[],1865,1948,3143
"Flaccus, Horatius","['Redivivus, Quevedo', 'Wright, Robert William']",1816,1885,3144
"Ellis, DeLancey M.",[],,,3145
"Schnitzler, Arthur",[],1862,1931,3146
"Peabody, Josephine Preston","['Marks, Mrs. Lionel']",1874,1922,3147
"Towle, George M. (George Makepeace)","['Towle, George Makepeace']",1841,1893,3148
"Davies, W. H. (William Henry)","['Davies, William H. (William Henry)', 'Davies, William Henry']",1871,1940,3149
"Gellert, Christian Fürchtegott","['Gellert, Christian Furchtegott']",1715,1769,3150
"Joblin, Maurice",[],,,3151
"Brightwell, C. L. (Cecilia Lucy)","['Brightwell, Cecilia Lucy']",1811,1875,3152
"Stern, G. B. (Gladys Bronwyn)","['Holdsworth, Gladys Bertha', 'Holdsworth, Gladys Bronwyn', 'Stern, Gladys Bertha', 'Stern, Gladys Bronwyn']",1890,1973,3153
"Pertwee, Roland",[],1885,1963,3154
"Coppard, A. E. (Alfred Edgar)",[],1878,1957,3155
"Horn, Holloway",[],1886,,3156
"Mordaunt, Elinor",[],1876,1942,3157
"Graham, Alan","['McKissock, A. E.']",,,3158
"O'Brien, Edward Joseph Harrington","['Harrington, Joseph F.']",1890,1941,3159
"Beresford, J. D. (John Davys)","['Beresford, John Davys']",1873,1947,3160
"Langbridge, Rosamond",[],1880,1964,3161
"Moult, Thomas","['Southgate, Sidney']",1893,1974,3162
"Easton, Dorothy",[],1889,,3163
"Truscott, L. Parry","['Hargrave, Abbie', 'Truscott, Parry']",,,3164
"Edginton, May","['Edginton, Helen Marion', 'Edington, May']",1883,1957,3165
"Crompton, Richmal","['Lamburn, Richmal Crompton']",1890,1969,3166
"Aumonier, Stacy",[],1887,1928,3167
"Pemberton, Max","['Pemberton, Sir Max']",1863,1950,3168
"Caine, William",[],1873,1925,3169
"Kenney, Rowland",[],,,3170
"Calderón de la Barca, Madame (Frances Erskine Inglis)","['Barca, Madame Calderón de la (Frances Erskine Inglis)', 'Calderon de la Barca, Madame (Frances Erskine Inglis)']",1804,1882,3171
"Wilson, John",[],1625,1695,3172
"Brine, Mary D. (Mary Dow)","['Brine, Mary Dow Northam']",,,3173
"Copeland, Charles",[],1858,1929,3174
"Dole, Helen B.",[],,,3175
"Leathem, W. H. (William Harvey)","['Leathem, William Harvey']",,,3176
"Black, Hugh",[],1868,,3177
"Miller, J. R. (James Russell)","['Miller, James Russell']",1840,1912,3178
"Gore, Mrs. (Catherine Grace Frances)","['Gore, Catherine Grace Frances Moody', 'Gore, Charles, Mrs.']",1799,1861,3179
"Roberts, Fflorens","['Roberts, Florence']",,,3180
"Chopin, Frédéric","['Chopin, Frederic', 'Chopin, Fryderyk Franciszek']",1810,1849,3181
"Evans, Robert J.","['Evans, Bob']",,,3182
"Barry, Etheldred B. (Etheldred Breeze)","['Barry, E. B. (Etheldred Breeze)', 'Barry, Etheldred Breeze', 'Barry, Ethelred Breeze']",1870,,3183
"Story, William Wetmore",[],1819,1895,3184
"Koerner, W. H. D. (William Henry Dethlef)","['Koerner, William Henry Dethlef']",1878,1938,3185
"Maxwell, M. H. (Mary H.)","['Maxwell, Mary H.', 'Maxwell, Mrs. (Mary H.)']",1815,1891,3186
"Thomas, Calvin",[],1854,1919,3187
"Edwards, George Wharton",[],1859,1950,3188
"Keitel, Adolph",[],,,3189
"Wisthaler, Johanna Sara",[],1868,,3190
"Seton-Thompson, Grace Gallatin","['Seton, Grace Gallatin', 'Seton, Grace Thompson']",,,3191
"Leighton, Robert",[],1859,1934,3192
"Labiche, Eugène","['Labiche, E. (Eugène)', 'Labiche, Eugene']",1815,1888,3193
"Martin, Edouard","['Martin, Édouard']",1828,1866,3194
"Feuillet, Raoul-Auger","['Feuillet, Raoul Auger']",1659,1710,3195
"Weaver, John",[],1673,1760,3196
"Akin, Florence","['Aiken, Florence', 'Banks, Florence Aiken', 'Banks, Florence Akin']",1878,,3197
"Carmichael, Alfred",[],1874,1963,3198
"Semeyn, J.",[],,1952,3199
"Ervine, St. John G. (St. John Greer)","['Ervine, John St. John Greer', 'Ervine, Saint John G. (Saint John Greer)']",1883,1971,3200
"Edwords, Clarence E. (Clarence Edgar)","['Edwords, Clarence Edgar']",1856,,3201
"Hardy, Arthur Sherburne",[],1847,1930,3202
"Hay, Kathleen",[],,,3203
"Binion, Samuel Augustus",[],1853,1914,3204
"Dubh, Scian","['McCarroll, James']",1815,1896,3205
"Chadwick, Henry",[],1824,1908,3206
"Youatt, William",[],1776,1847,3207
"Lewis, Elisha J. (Elisha Jarrett)",[],1820,1877,3208
"Foa, Eugénie","['Foa, Eugenie']",,1853,3209
"George, Vesper L.",[],,,3210
"Shorter, Dora Sigerson","['Sigerson, Dora']",1866,1918,3211
"Marsh, Edward Howard, Sir",[],1872,1953,3212
"Trebitsch, Siegfried",[],1869,1956,3213
"McConnell, Francis John",[],1871,1953,3214
"Chase, Eliza E.",[],,,3215
"Carleton, Will","['Carleton, W. M. (William McKendree)', 'Carleton, William McKendree']",1845,1912,3216
"Winslow, Helen M. (Helen Maria)",[],1851,1938,3217
"Blake, Katherine Devereux","['Blake, Katherine D.']",1858,1950,3218
"Alexander, Georgia",[],1868,,3219
"Stribling, T. S. (Thomas Sigismund)","['Stribling, Thomas Sigismund']",1881,1965,3220
"Stoops, Herbert Morton","['Sisley, Raymond', 'Stoops, H. M. (Herbert Morton)']",,,3221
"Sandars, Mary Frances",[],1864,,3222
"Bailey, L. H. (Liberty Hyde)","['Bailey, Liberty Hyde']",1858,1954,3223
"Cone, Helen Gray",[],1859,1934,3224
"Mignet, M. (François-Auguste-Marie-Alexis)","['Mignet, F. A. (François-Auguste)', 'Mignet, François-Auguste', 'Mignet, M. (Francois-Auguste-Marie-Alexis)']",1796,1884,3225
"Cao, Xueqin",['曹雪芹'],1715,1763,3226
"Joly, H. Bencraft","['Joly, Henry Bencraft']",1857,1898,3227
"Blanchard, Lucy Mansfield Blanchard",[],1870,,3228
"Field, Roswell Martin","['Field, R. M. (Roswell Martin)', 'Field, Roswell M. (Roswell Martin)']",1851,1919,3229
"Thayer, William Makepeace","['Thayer, William M. (William Makepeace)']",1820,1898,3230
Tibullus,"['Tibullus, Albius']",-54,-19,3231
"Williams, Theodore Chickering",[],1855,1915,3232
"Darwin, Erasmus",[],1731,1802,3233
"Nekrasov, Nikolai Alekseevich","['Nekrassov, Nicholas', 'Некрасов, Николай Алексеевич']",1821,1877,3234
"Soskice, Juliet M.",[],,,3235
"Morgenstern, Christian",[],1871,1914,3236
"Hall, Jennie",[],1875,1921,3237
"Humphreys, John H.","['Humphreys, J. H. (John H.)']",,,3238
"Shepherd, Richard Herne","['Shepherd, R. H. (Richard Herne)']",1842,1895,3239
"Armstrong, Martin",[],1882,1974,3240
"Hughes, Richard Arthur Warren",[],1900,1976,3241
"Blunden, Edmund","['Blunden, E. C. (Edmund Charles)', 'Blunden, Edmund Charles']",1896,1974,3242
"Quennell, Peter","['Quennel, Peter']",1905,1993,3243
"Shanks, Edward",[],1892,1953,3244
"Sackville-West, V. (Victoria Mary)","['Nicolson, Victoria Mary Sackville-West', 'Sackville-West, Victoria Mary, Hon.', 'Sackville-West, Vita']",1892,1962,3245
"Kerr, William",[],,,3246
"Pellow, J. D. C.",[],,,3247
"Monro, Harold",[],1879,1932,3248
"Squire, John Collings, Sir","['Squire, J. C. (John Collings)', 'Squire, Jack Collings']",1884,1958,3249
"Gibson, Wilfrid Wilson","['Gibson, W. W. (Wilfrid Wilson)']",1878,1962,3250
"Prewett, Frank",[],1893,1962,3251
"Freeman, John",[],1880,1929,3252
"Young, Francis Brett","['Young, F. Brett (Francis Brett)']",1884,1954,3253
"Abercrombie, Lascelles",[],1881,1938,3254
"Nichols, Robert","['Nichols, Robert Malise Bowyer']",1893,1944,3255
"Bazzero, Ambrogio","['Bàzzeo, A. (Ambrogio)']",1851,1882,3256
"Fontana, Ferdinando","['Fontana, F. (Ferdinando)', 'Fontana, Fernando']",1850,1919,3257
"Esquiros, Alphonse",[],1812,1876,3258
"Laing, Gordon Jennings",[],1869,1945,3259
"Shorey, Paul",[],1857,1934,3260
"Mullgardt, Louis Christian",[],1866,1942,3261
"Nosek, Vladimir",[],1895,1964,3262
"Seymour, William Kean",[],1887,1975,3263
J. B. H. (James Barron Hope),"['Hope, James Barron']",1829,1887,3264
"Herculano, Alexandre","['Araujo, Alexandre Herculano de Carvalho e', 'Carvalho e Araujo, Alexandre Herculano de', 'De Carvalho e Araújo, Alexandre Herculano', 'Herculano, A. (Alexandre)', 'Herculano, Alejandro']",1810,1877,3265
"Hawes, Charles Boardman",[],1889,1923,3266
"Arber, Edward",[],1836,1912,3267
"Knox, John",[],,1572,3268
"McClintock, James H.",[],1864,1934,3269
"Selby-Bigge, L. A. (Lewis Amherst), Sir","['Selby-Bigge, Lewis Amherst, Sir']",1860,1951,3270
"Harrison, James A. (James Albert)",[],1848,1911,3271
"Sharp, Robert",[],1851,,3272
"Bryce, Charles, Mrs.","['Bryce, Mrs. Charles']",,,3273
"Brown, Arthur William",[],1881,1966,3274
"Smith, Winchell",[],1871,1933,3275
"Keyes, Frances Parkinson","['Keyes, Frances Parkinson Wheeler']",1885,1970,3276
"Bailey, H. C. (Henry Christopher)","['Bailey, Henry Christopher']",1878,1961,3277
"Bonner, Geraldine",[],1870,1930,3278
"Jones, E.",[],,,3279
"Skelton, Joseph Ratcliffe","['Skelton, J. R. (Joseph Ratcliffe)']",1888,,3280
"Greenidge, A. H. J. (Abel Hendy Jones)","['Greenidge, Abel Hendy Jones']",1865,1906,3281
"Cox, F. A. (Francis Augustus)","['Cox, Francis Augustus']",1783,1853,3282
"Nichol, John",[],1833,1894,3283
"Leverson, Ada","['Beddington, Ada Esther']",1862,1933,3284
"Bentwich, Norman",[],1883,1971,3285
"Williamson, C. N. (Charles Norris)","['Williamson, Charles Norris']",1859,1920,3286
"Williamson, A. M. (Alice Muriel)","['Williamson, Alice Muriel', 'Williamson, Mrs. C. N.']",1869,1933,3287
"Drummond, William Henry",[],1854,1907,3288
"Laughton, John Knox","['Laughton, Sir John Knox']",1830,1915,3289
"Ryus, W. H. (William Henry)","['Ryus, William Henry']",1839,,3290
"Schoenrich, Otto",[],1876,,3291
"Akenside, Mark",[],1721,1770,3292
"Du Maurier, George","['Du Maurier, George Louis Palmella Busson', 'Maurier, George Du']",1834,1896,3293
"Mathiez, Albert","['Matthiez, Albert']",1874,1932,3294
"Thomson, A. T., Mrs.","['Thomson, Katherine Byerley', 'Thomson, M. A., Mrs.', 'Wharton, Grace']",1797,1862,3295
"Wharton, Philip","['Splene, Megathym', 'Thomson, J. Cockburn (John Cockburn)', 'Thomson, John Cockburn']",1834,1860,3296
"Robinson, Mary",[],1758,1800,3297
"Renard, A.-F. (Alphonse-François)","['Renard, A.-F. (Alphonse-Francois)', 'Renard, Alphonse-François']",1842,1903,3298
"Rydberg, Viktor","['Rydberg, Abraham Viktor', 'Rydberg, V. (Viktor)', 'Rydberg, Victor']",1828,1895,3299
"Fitinghoff, Laura",[],1848,1908,3300
"White, Fred M. (Fred Merrick)","['White, Fred Merrick', 'White, Frederick Merrick']",1859,,3301
"Moore, T. Sturge (Thomas Sturge)","['Moore, Sturge', 'Moore, Thomas Sturge']",1870,1944,3302
"Cable, George Washington","['Cable, G. W. (George Washington)']",1844,1925,3303
"Bell, Henry, Captain","['Bell, Captain Henry', 'Bell, Henrie, Captain']",,,3304
"Williams, John",['Ab Ithel'],1811,1862,3305
Aneirin,['Aneurin'],,,3306
"Kaufmann, Richard",[],1846,1894,3307
"Turnbull, Margaret",[],,1942,3308
"Durning-Lawrence, Edwin, Sir","['Durning-Lawrence, Sir Edwin']",1837,1914,3309
"Judd, Mary Catherine",[],,,3310
"MacDonall, Angus",[],,,3311
"Griswold, Latta",[],1876,1931,3312
"Hastings, Milo","['Hastings, Milo M. (Milo Milton)', 'Hastings, Milo Milton', 'Spain, Dan']",1884,1957,3313
"Hertzka, Theodor",[],1845,1924,3314
"Ransom, Arthur",[],1831,1912,3315
"Lingley, Charles Ramsdell",[],1877,1934,3316
"Warren, Kendall",[],,,3317
"Bell, J. J. (John Joy)","['Bell, John Joy']",1871,1934,3318
"Carew, Richard","['Careus, Richardus']",1555,1620,3319
"Stanton, Elizabeth Cady","['Cady, Elizabeth', 'Stanton, E. Cady (Elizabeth Cady)', 'Stanton, Lizzie']",1815,1902,3320
"Campano, Lorenzo",[],,,3321
"Renneville, Madame de (Sophie de Senneterre)","['Renneville, Sophie de Senneterre, dame de']",1772,1822,3322
"Scribe, Eugène","['Scribe, Augustin Eugène', 'Scribe, E. (Eugène)', 'Scribe, Eugene']",1791,1861,3323
"Delavigne, Germain",[],1790,1868,3324
"Delestre-Poirson, C.-G. (Charles-Gaspard)","['Delestre-Poirson, Charles-Gaspard']",1790,1859,3325
"Thiers, Adolphe","['Thiers, A. (Adolphe)', 'Thiers, Marie-Joseph-Louis-Adolphe']",1797,1877,3326
"Bourne, Henry Eldridge","['Bourne, H. E. (Henry Eldridge)']",1862,1946,3327
"Benton, Elbert Jay",[],1871,1946,3328
"Tomlinson, Paul G. (Paul Greene)","['Tomlinson, Paul Greene']",1888,,3329
"Cook, Richard B. (Richard Briscoe)","['Cook, Richard Briscoe']",1838,1916,3330
"Janvier, Thomas A. (Thomas Allibone)","['Janvier, Thomas Allibone']",1849,1913,3331
"Stump, Joseph",[],1866,1935,3332
"Winter, Milo","['Winter, Milo Kendall']",1888,1956,3333
"Grimké, Angelina Emily","['Grimke, Angelina Emily', 'Grimké, A. E. (Angelina Emily)', 'Grimké, Angelina E.', 'Weld, Angelina Grimké']",1805,1879,3334
"Gruenberg, Sidonie Matsner","['Gruenberg, Sidonie Matzner', 'Grunberg, Sidoni M.']",1881,1974,3335
"Mathers, E. Powys (Edward Powys)","['Mathers, Edward Powys']",1892,1939,3336
"Merrick, Leonard",[],1864,1939,3337
"Rudd, John, LL. D.","['Rudd, John']",,,3338
"Horne, Charles F. (Charles Francis)","['Horne, Charles Francis']",1870,1942,3339
"Johnson, Rossiter","['Johnson, Edwin Rossiter']",1840,1931,3340
Woman's Institute of Domestic Arts and Sciences,[],,,3341
"Hodder, Edwin",[],1837,1904,3342
"Thompson, Charles",[],1833,,3343
"Mitchell, T. L. (Thomas Livingstone)","['Mitchell, Thomas Livingstone, Sir']",1792,1855,3344
"King, Basil","['King, William Benjamin Basil']",1859,1928,3345
"Link, Henry C. (Henry Charles)","['Link, Henry Charles']",1889,1952,3346
"Warren, George A.",[],,,3347
"Nowlin, William",[],1821,1884,3348
"Sholl, Anna McClure",[],,,3349
"Bore, Henry",[],,,3350
"Chapman, J. Wilbur (John Wilbur)","['Chapman, John Wilbur', 'Chapman, Wilbur']",1859,1918,3351
"Forrest, John Forrest, Baron",[],1847,1918,3352
"Oxley, J. Macdonald (James Macdonald)","['Oxley, James M. (James Macdonald)']",1855,1907,3353
Horatio,[],,,3354
"Blancké, Wilton W. (Wilton Wallace)","['Blancke, Wilton W. (Wilton Wallace)', 'Blancké, Wilton Wallace']",1884,1949,3355
"Hauptmann, Gerhart","['Hauptmann, Gerhart Johann Robert']",1862,1946,3356
"Lewisohn, Ludwig",[],1882,1955,3357
"Barnard, Charles Inman",[],1850,,3358
"Gutzkow, Karl",[],1811,1878,3359
"Bagnold, Enid","['Jones, Enid Bagnold, Lady']",1889,1981,3360
"Petersham, Miska","['Petrezselyem, Mihaly', 'Petrezselyem, Mihály']",1888,1960,3361
"Petersham, Maud","['Fuller, Maud', 'Petersham, Maud Fuller']",1890,1971,3362
"Onís, Federico de","['Sanchez, Federico de Onis y', 'Sánchez, Federico de Onís y']",1885,1966,3363
"Walsh, Gertrude M. (Gertrude Margaret)",[],1884,,3364
"Jiménez, Juan Ramón","['Mantecon, Juan Ramon Jimenez', 'Mantecón, Juan Ramón Jiménez']",1881,1958,3365
"Castleman, Virginia Carter",[],,,3366
"Alarcón, Pedro Antonio de","['Alarcon, Pedro Antonio de', 'Ariza, Pedro Antonio de Alarcón y', 'De Alarcón, Pedro Antonio']",1833,1891,3367
"Bécquer, Gustavo Adolfo","['Bastida, Gustavo Adolfo Domínguez', 'Becquer, Gustavo Adolfo Dominguez', 'Bequer, Gustavo Adolfo', 'Bécquer, Gustavo Adolfo Domínguez', 'Béquer, Gustavo Adolfo', 'Domínguez Bécquer, Gustavo Adolfo']",1836,1870,3368
"Caballero, Fernán","['Caballero, Fernan', 'De Faber y Larrea, Cecilia Francisca Josefa Bohl', 'De Faber y Larrea, Cecilia Francisca Josefa Böhl']",1796,1877,3369
"Selgas, José","['Carrasco, José Selgas y', 'Selgas, Jose']",1824,1882,3370
"Maniates, Belle Kanaris","['Maniates, Belle K.']",,,3371
"Oxenham, John","['Dunkerley, William Arthur']",1852,1941,3372
"Harrison, Henry Sydnor","['Harrison, H. S. (Henry Sydnor)', 'Second, Henry']",1880,1930,3373
"George, Marian Minnie","['George, Marian M.']",1865,,3374
"Adams, Charles Francis","['Adams, C. F. (Charles Francis)', 'Adams, Charles F. (Charles Francis)']",1835,1915,3375
"Betham, Matilda","['Betham, Mary Matilda']",1776,1852,3376
"Bradford, Sarah H. (Sarah Hopkins)","['Bradford, S. H. (Sarah Hopkins)', 'Bradford, Sarah Elizabeth (Hopkins)', 'Cousin Cicely']",1818,,3377
"Rouse, W. H. D. (William Henry Denham)","['Rouse, William Henry Denham']",1863,1950,3378
"Hodgson, William Hope",[],1877,1918,3379
"Waddington, Mary King","['King, Mary Alsop', 'Waddington, Mary Alsop King']",1833,1923,3380
"Lindsay, Anna Robertson Brown","['Brown, Anna Robertson']",1864,1948,3381
"Tucker, George","['Atterley, Joseph']",1775,1861,3382
"Brogan, James C.",[],,,3383
"Hammond, S. H. (Samuel H.)","['Hammond, Samuel H.']",1809,1878,3384
"Newnes, George",[],1851,1910,3385
"Bueltmann, A. J.",[],,,3386
"Brooks, Charles S. (Charles Stephen)","['Brooks, C. S. (Charles Stephen)', 'Brooks, Charles Stephen']",1878,1934,3387
"Cross, F. J. (Frederick J.)","['Cross, Frederick J.']",,,3388
"Avery, Harold",[],1867,1943,3389
"Foster, John B. (John Buckingham)",[],1863,1941,3390
"Magnay, William, Sir",[],1855,1917,3391
"Ingram, John Henry","['Ingram, J. H. (John Henry)', 'Salamanca, Felix de']",1842,1916,3392
"Black, Edith Ferguson",[],1857,1936,3393
"Robins, Elizabeth","['Parkes, Elizabeth Robins', 'Parks, Elizabeth Robins', 'Parks, Mrs. George Richmond', 'Raimond, C. E.']",1862,1952,3394
"Lee, Charles A.",[],,,3395
"Smith, Henrietta Brown",[],1868,,3396
"Murray, E. R. (Elsie Riach)","['Murray, Elsie Riach']",1861,1932,3397
"Ladue, Joseph","['Ladue, Joe', 'Ladue, Joseph Francis']",1855,1900,3398
"Wheeler, Janet D.",[],,,3399
"Féval, Paul","['Feval, Paul', 'Féval, Paul Henri Corentin']",1817,1887,3400
"Berzelius, Jöns Jakob, friherre","['Berzelius, J. Jacob (Jöns Jacob), friherre', 'Berzelius, Jons Jakob, friherre']",1779,1848,3401
"Ekeberg, Anders Gustaf",[],1767,1813,3402
Mencius,"['Mengzi', '孟子']",-385,-289,3403
"Davis, John Francis, Sir","['Davis, Sir John Francis']",1795,1890,3404
"Jennings, William",[],1847,1927,3405
"Quigley, Edward J.",[],,,3406
"Verhaeren, Emile","['Verhaeren, Emile', 'Verhaeren, Émile']",1855,1916,3407
"Keenan, Henry F. (Henry Francis)","['Keenan, Henry Francis']",1850,,3408
"Towne, Elizabeth","['Towne, Elizabeth (Jones), Mrs.']",,,3409
"Beck, James M. (James Montgomery)","['Beck, James Montgomery']",1861,1936,3410
"Keller, Arthur Ignatius","['Keller, A. I. (Arthur Ignatius)', 'Keller, Arthur I.']",1866,1924,3411
"Cooke, Grace MacGowan","['Cooke, Mrs. William', 'MacGowan, Grace']",1863,1944,3412
"Planta, Joseph","['Planta, J. (Joseph)']",1744,1827,3413
"Eggleston, Edward",[],1837,1902,3414
