167,Scarecrow (Fictitious character from Baum) -- Juvenile fiction
168,"Gale, Dorothy (Fictitious character) -- Juvenile fiction"
169,Home -- Juvenile fiction
170,Wizard of Oz (Fictitious character) -- Juvenile fiction
171,National Research and Education Network (Computer network)
172,Arabs -- Folklore
173,Folklore -- Arab countries
174,Children's stories
175,Fairy tales
176,English poetry
177,Epic poetry
178,Bible. Gospels -- History of Biblical events -- Poetry
179,Jesus Christ -- Temptation -- Poetry
180,Methodology
181,Science -- Methodology
182,"Blakeney, Percy, Sir (Fictitious character) -- Fiction"
183,British -- France -- Fiction
184,Nobility -- Fiction
185,"France -- History -- Revolution, 1789-1799 -- Fiction"
186,Socialism
187,Communism
188,"Carter, John (Fictitious character) -- Fiction"
189,Dejah Thoris (Fictitious character) -- Fiction
190,Princesses -- Fiction
191,Mathematical constants
192,"Numbers, Prime"
193,Radio broadcasting
194,African Americans -- History
195,Slavery -- United States -- History
196,Number theory
197,American essays
198,"Government, Resistance to"
199,Civil disobedience
200,"Virginia -- History -- Civil War, 1861-1865 -- Fiction"
201,"United States -- History -- Civil War, 1861-1865 -- Fiction"
202,"Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction"
203,Child witnesses -- Fiction
204,Humorous stories
205,Mississippi River Valley -- Fiction
206,Missouri -- Fiction
207,Boys -- Fiction
208,Runaway children -- Fiction
209,"Sawyer, Tom (Fictitious character) -- Fiction"
210,Male friendship -- Fiction
211,Electronic mail systems
212,Fugitive slaves -- Fiction
213,"Finn, Huckleberry (Fictitious character) -- Fiction"
214,Mississippi River -- Fiction
215,Race relations -- Fiction
216,Salem (Mass.) -- Fiction
217,Haunted houses -- Fiction
218,Paranormal fiction
219,Tarzan (Fictitious character) -- Fiction
220,Fantasy fiction
221,Africa -- Fiction
222,Wild men -- Fiction
223,British -- Africa -- Fiction
224,Computer security -- Fiction
225,"Privacy, Right of -- Fiction"
226,Records -- Access control -- Fiction
227,"Great Britain -- History -- Richard I, 1189-1199 -- Fiction"
228,Anglo-Saxons -- Fiction
229,Normans -- Great Britain -- Fiction
230,Knights and knighthood -- Fiction
231,"Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction"
232,Jews -- England -- Fiction
